,CUSTOMER_ID,CUSTOMER_NAME,SSN,AGE,CUSTOMER_EDUCATION_LEVEL,ADDRESS_LINE1,ADDRESS_LINE2,CITY,POSTAL_CODE,MARITAL_STATUS,NO_OF_FAMILY_MEMBERS,EMPLOYMENT_STATUS,HOUSE_TYPE
55,A00004719,Claire Carter,231-40-5595,64,College,68 Route 66,,,5149,Y,5,Y,Rent
56,A00002089,Antony Ender,697-38-5325,47,High School,1418 Paddocks Court,,Crownsville,21032,N,2,Y,Mortgage
57,A00004245,John Tilley,662-23-6761,36,College,333 Saint Charles Avenue,#B2,Fayetteville,72701,N,2,Y,Rent
58,A00009116,John Flores,006-21-5361,48,MD,589 East Main Street,,Newport,5855,Y,2,Y,Mortgage
59,A00003178,Edward Laderman,480-78-6356,56,High School,702 East 53rd Street,,Savannah,31405,Y,7,Y,Own
60,A00005466,Margaret Bolen,456-25-1821,32,,4316 Sunnybrook Drive,,Montgomery,36108,Y,2,Y,Rent
61,A00007369,Calvin Eichelberger,212-38-2492,42,Masters,1001 6th Street Northwest,,Washington,20001,Y,7,Y,Mortgage
62,A00002702,Arthur Mitchell,503-23-1603,53,High School,4113 Holiday Drive,,Panama City,32408,Y,7,N,Mortgage
63,A00006128,Debra Oliphant,547-03-8985,40,PhD,819 Beazer Lane,,Nashville,37013,N,5,Y,Own
64,A00001291,Mariann Hill,260-75-2618,39,Masters,4770 Balboa Way,,Fremont,94536,Y,7,Y,Rent
65,A00000261,Michael Beltrami,451-75-0398,28,High School,210 Lacross Lane,,Westmore,5860,Y,5,Y,Mortgage
66,A00008288,Marion Coffey,456-23-3939,37,High School,8376 Albacore Drive,,Pasadena,21122,N,5,Y,Own
67,A00009904,Denise Blake,397-02-6816,53,Bachelor,188 Saint Matthews Avenue,#1,Louisville,40207,Y,6,Y,Own
68,A00007027,William Martin,234-71-8403,36,Bachelor,2707 Eden Street,,Nashville,37208,Y,4,N,Rent
69,A00003818,Jacqueline Simpson,149-26-5568,47,High School,6120 Southeast 84th Street,,Oklahoma City,73135,N,5,Y,Own
70,A00005168,James Thurgood,436-11-4663,33,Bachelor,706 James Road,,Glen Burnie,21061,Y,2,Y,Mortgage
71,A00007705,Mathew Sims,336-07-2797,56,Bachelor,88 Pine Valley Road,,Savannah,31404,N,3,Y,Rent
72,A00000877,Jeremy Riccio,437-26-6789,52,Bachelor,1823 North Munchkin Lane,,Fayetteville,72704,Y,7,Y,Mortgage
73,A00006847,Susan Petersen,799-30-1508,60,College,7564 Moore Court,,Arvada,80005,Y,3,Y,Mortgage
74,A00005205,Anthony Girard,272-52-4093,60,Bachelor,122 40th Avenue North,,Nashville,37209,Y,4,Y,Own
75,A00009078,Eileen Svoboda,419-57-7880,50,Bachelor,201 Lee Boulevard,,Savannah,31405,Y,4,Y,Own
76,A00000804,William Zeigler,712-50-7492,32,High School,1907 18th Avenue South,,Nashville,37212,Y,7,Y,Rent
77,A00004234,James Hodges,617-93-2552,42,Bachelor,6244 Sun River Drive,,Sacramento,95824,N,7,Y,Mortgage
78,A00002003,Carlos Montello,272-67-3130,33,High School,11 Adams Street,,Arlington,2474,Y,6,Y,Mortgage
79,A00000193,Gary Enciso,146-19-8530,63,MD,6029 Wright Street,,Arvada,80004,N,3,N,Rent
80,A00009864,Melva Ramirez,534-60-3358,36,High School,1601 East 19th Street,,Edmond,73013,Y,5,Y,Rent
81,A00003565,Richard Lavalle,548-31-5757,36,MD,25 Cliffside Drive,D,Manchester,6042,Y,3,Y,Mortgage
82,A00006009,Marion Talley,541-76-7031,35,Bachelor,1742 Allerford Drive,,Hanover,21076,Y,6,Y,Mortgage
83,A00000670,Diane Givens,075-78-0354,44,College,529 Wesley Avenue,,Nashville,37207,N,3,Y,Rent
84,A00002691,Jimmie Herbert,179-57-6712,50,Bachelor,1109 East Glenn Lane,,Fayetteville,72703,Y,6,Y,Rent
85,A00007463,James Miles,011-48-0223,34,Bachelor,2505 Walker Lane,,Nashville,37207,Y,4,Y,Mortgage
86,A00007262,Monica Threlkeld,742-23-3926,25,High School,1518 Jenks Avenue,,Panama City,32405,Y,5,Y,Mortgage
87,A00009910,Tasha Bolds,756-36-8621,61,College,7095 Gladiola Street,,Arvada,80004,Y,5,Y,Own
88,A00005802,Joseph Walt,870-21-9085,63,Bachelor,4329 Howe Street,,Oakland,94611,N,3,Y,Own
89,A00006267,Kate Tito,290-88-1317,26,High School,6228 West Larkspur Drive,,Glendale,85304,N,3,Y,Mortgage
90,A00002978,Mary Todd,566-79-4331,45,MD,32 Prospect Street,#32,Manchester,6040,N,4,Y,Mortgage
91,A00009572,Vivian Kiesel,300-10-2252,28,High School,120 North Hurstbourne Parkway,#622,Louisville,40222,Y,6,Y,Rent
92,A00007477,Anthony Carpenter,653-32-2994,60,High School,178 Old Homestead Road,,Danville,5873,Y,3,Y,Own
93,A00009513,Catherine Wells,649-10-1315,47,High School,4132 Northwest 57th Street,,Oklahoma City,73112,Y,6,Y,Mortgage
94,A00009706,Mariana Waller,364-41-2374,55,Masters,2269 Eastern Boulevard,,Montgomery,36117,Y,6,Y,Own
95,A00006240,Brent Fly,625-60-3268,55,MD,1710 Massachusetts Avenue Southeast,,Washington,20003,N,5,Y,Rent
96,A00000327,Christopher Lee,043-38-2996,35,Bachelor,4822 Piney Branch Road Northwest,,Washington,20011,Y,2,Y,Mortgage
97,A00000762,Donna Delosh,208-35-1567,45,Bachelor,4463 Cato Road,,Nashville,37218,Y,4,Y,Own
98,A00008559,Alice Murphy,728-95-2336,49,High School,6201 West Olive Avenue,#3172,Glendale,85302,N,3,Y,Rent
99,A00007283,Chester Castleberry,808-58-3958,60,High School,5630 Silverado Way,#STE A8,Anchorage,99518,Y,5,Y,Rent
100,A00007243,Mary Cloud,740-54-8067,37,High School,713 East 32nd Street,,Savannah,31401,N,6,Y,Mortgage
101,A00007330,Bernice Santomauro,459-94-0130,50,Bachelor,410 West 89th Avenue,,Anchorage,99515,Y,3,N,Mortgage
102,A00009946,William Wilson,686-63-6813,39,MD,7758 Betty Louise Drive,,Panama City,32404,N,5,N,Own
103,A00005849,Kara Williams,103-81-9181,42,High School,1010 10th Street Northeast,,Washington,20002,Y,2,Y,Rent
104,A00008151,Kenneth Hill,464-79-0337,61,Bachelor,97 Lincoln Street,,Fitchburg,1420,N,5,Y,Mortgage
105,A00004744,Nathaniel Graham,502-53-3503,47,Bachelor,721 Bay Ridge Avenue,,Annapolis,21403,N,4,Y,Mortgage
106,A00007865,Gary Patten,673-18-5241,47,Masters,8513 Pipit Court,,Montgomery,36117,Y,2,Y,Rent
107,A00007480,Martin Tommolino,325-51-7713,40,High School,2130 Loren Circle,,Fayetteville,72701,Y,7,N,Mortgage
108,A00001988,Michelle Thomas,194-45-6875,64,,1426 C Street Southeast,,Washington,20003,Y,2,Y,Rent
109,A00005653,Fannie Williams,572-47-3887,51,Bachelor,954 Dowler Drive,,Eureka,95501,Y,5,Y,Rent
110,A00007305,Sean Billotte,786-78-7210,60,Masters,1939 Greenwood Street,,Savannah,31404,N,2,Y,Rent
111,A00001480,Ida Nam,456-75-3361,57,High School,130 Carolina Cherry Circle,,Pooler,31322,Y,5,Y,Mortgage
112,A00004702,Sarah Toms,020-74-8449,62,Masters,23 Columbia Drive,,Manchester,6042,N,4,N,Own
113,A00001148,Jorge Anderson,692-56-5856,47,High School,4331 Foeburn Lane,,Louisville,40207,Y,2,Y,Rent
114,A00002262,Jorge Silva,117-48-1831,32,Bachelor,122 40th Avenue North,,Nashville,37209,N,2,Y,Rent
115,A00003291,Andrea Silver,138-64-7282,33,Masters,65 Arcellia Drive,,Manchester,6042,Y,7,Y,Mortgage
116,A00008706,Jacinta Suiter,391-13-1057,49,Bachelor,1352 Purdue Street,,San Leandro,94579,Y,2,Y,Own
117,A00004966,Mary Hartman,234-25-8811,57,College,8 Richardson Road,,Barre,5641,Y,7,Y,Own
118,A00001137,Nan Mottet,443-40-1985,26,High School,129 Grant Street,,Redlands,92373,Y,7,Y,Mortgage
119,A00000013,Vivian Wallace,615-16-4875,45,,6021 Yarrow Street,#A1,Arvada,80004,Y,5,Y,Mortgage
120,A00000875,Jonathan Hurley,464-61-7377,37,MD,1311 Northwest 98th Street,,Oklahoma City,73114,Y,5,Y,Rent
121,A00001718,Victoria Learn,539-12-9909,42,High School,1613 Ensenada Way,,Aurora,80011,N,2,Y,Mortgage
122,A00002165,Michael Macklin,235-38-2304,54,PhD,36528 Short Circle,,Kenai,99611,N,3,Y,Mortgage
123,A00003051,Joe Capps,534-08-7598,29,High School,760 11th Street Southeast,,Washington,20003,Y,4,Y,Mortgage
124,A00009892,Francine Scott,169-22-9491,25,High School,42 Adams Road,#45,Greenfield,1301,Y,6,Y,Own
125,A00004106,Brian Morison,154-16-8898,56,Bachelor,1026 Orchard Avenue,,Louisville,40213,N,7,Y,Mortgage
126,A00005034,Steve Painter,380-14-1874,57,Bachelor,5600 Carmichael Road,,Montgomery,36117,Y,3,Y,Rent
127,A00008198,John Tefft,420-43-9469,41,Bachelor,5815 West Del Lago Circle,,Glendale,85308,Y,6,Y,Mortgage
128,A00000548,Laura Nelson,195-53-6467,64,College,10802 Brickside Court,,Riverview,33579,Y,6,Y,Own
129,A00006478,Daniel Keiss,594-71-2501,35,Bachelor,1215 Joseph Avenue,,Nashville,37207,Y,6,Y,Own
130,A00000815,Everett Smudrick,268-53-6187,31,Bachelor,5837 West Evans Drive,,Glendale,85306,Y,4,Y,Rent
131,A00004559,Jane Bell,802-40-4317,30,PhD,7090 West 64th Avenue,,Arvada,80003,Y,7,Y,Rent
132,A00002441,Orpha Mcclellan,473-75-4785,41,Bachelor,3100 Gentilly Court,,Montgomery,36116,Y,5,Y,Own
133,A00005228,Ida Holder,120-96-1655,28,Masters,2347 Glen Eagle Drive,,Northfield,40222,Y,7,Y,Rent
134,A00008944,Charles Turman,385-97-7281,28,Bachelor,831 West Center Street,#224,Fayetteville,72701,N,3,Y,Own
135,A00005880,Tony Crawley,687-65-4878,62,High School,3808 South Smiley Circle,,Montgomery,36108,N,5,Y,Rent
136,A00002413,William Baez,820-95-0117,39,High School,606 National Street,#306,Fayetteville,72701,Y,2,Y,Mortgage
137,A00001701,David Toney,851-83-6355,26,Bachelor,81 Buck Hill Road,,Guilford,5301,Y,5,N,Own
138,A00000834,Sophia Meier,714-01-2402,54,High School,91 Rushforde Drive,,Manchester,6040,Y,5,Y,Rent
139,A00002597,Rodney Miller,173-81-9522,39,High School,2068 Happy Lane,,Crofton,21114,Y,5,Y,Rent
140,A00007505,Gary Frey,361-41-6956,31,Bachelor,25721 Berryhill Road,,Anchorage,99577,N,2,Y,Mortgage
141,A00004164,Julius Cooks,735-43-6166,60,College,4 Chamois Court,,Pooler,31322,Y,3,Y,Mortgage
142,A00005342,Judy Solian,063-55-8460,44,,5073 West 65th Place,,Arvada,80003,Y,3,Y,Mortgage
143,A00009809,Alice Weigel,067-92-9761,55,High School,615 Sand Road,,Severn,21144,N,5,Y,Own
144,A00002956,Laverne Gross,501-74-4335,42,High School,115 Colemont Court,,Nashville,37013,Y,6,Y,Mortgage
145,A00004012,Albert Dixon,350-48-8969,62,Bachelor,97 Lincoln Street,,Fitchburg,1420,Y,3,Y,Own
146,A00000949,Jeffrey James,284-82-1028,64,High School,1649 Timberridge Court,,Fayetteville,72704,Y,7,Y,Mortgage
147,A00001650,Kathlene Mcnamara,414-47-5092,43,Bachelor,369 Ruth Avenue,,Mountain View,94043,N,5,Y,Own
148,A00005704,Von Wolfe,890-58-6302,34,College,233 Buckland Hills Drive,,Manchester,6042,N,4,Y,Own
149,A00002776,Michael Neff,552-75-7032,54,High School,17109 Guava Avenue,,Panama City Beach,32413,Y,3,Y,Rent
150,A00002079,Tosha Thompson,128-23-9449,41,Bachelor,2527 Lisenby Avenue,,Panama City,32405,N,7,Y,Mortgage
151,A00005318,Catherine Sisco,705-23-3691,32,Bachelor,800 West Street,,Panama City,32404,Y,7,Y,Own
152,A00007732,Amber Cobb,360-52-2531,47,High School,3704 Hughes Road,,Louisville,40207,Y,5,Y,Own
153,A00004626,Jon Nobles,009-61-2453,26,,1233 Paradise Lane,,Fayetteville,72701,Y,2,Y,Mortgage
154,A00000211,Bill Kwok,664-86-7600,49,Bachelor,4444 Hansen Avenue,#APT 224,Fremont,94536,Y,4,Y,Mortgage
155,A00007341,Deanna Humiston,600-55-8563,27,PhD,439 Crestmont Drive,,Oakland,94619,Y,4,Y,Rent
156,A00008591,Lance Kher,778-96-1115,42,Bachelor,1817 Southeast 14th Street,,Moore,73160,Y,7,Y,Mortgage
157,A00008052,Linda Thruman,258-60-2036,28,High School,6225 West Citrus Way,,Glendale,85301,Y,4,Y,Rent
158,A00008942,Mike Robert,513-40-1287,35,Masters,228 Central Street,,Milford,1757,Y,5,Y,Mortgage
159,A00003149,Keith Martel,562-73-6287,60,High School,17020 West 64th Drive,,Arvada,80007,Y,6,Y,Rent
160,A00005805,Joe Introini,211-65-5029,31,Bachelor,7529 Perryman Court,,,21226,Y,6,Y,Own
161,A00009530,Calvin Howell,276-56-3370,54,Bachelor,3425 North Futrall Drive,,Fayetteville,72703,Y,7,Y,Own
162,A00006830,Lillian Decker,141-91-4404,26,,5514 West Wedington Drive,#3,Fayetteville,72704,Y,6,Y,Rent
163,A00007160,Roxann Waters,030-87-7823,61,Bachelor,6073 Harlan Street,,Arvada,80003,Y,3,Y,Rent
164,A00001553,Perry Wright,126-34-1776,64,Bachelor,11 Adams Street,,Arlington,2474,N,3,Y,Mortgage
165,A00001756,Florence Merritt,799-27-1687,35,Bachelor,5701 East Shirley Lane,,Montgomery,36117,N,5,Y,Own
166,A00002923,Ann Knight,256-98-2851,62,High School,4408 Northwest 55th Street,,Oklahoma City,73112,N,7,Y,Own
167,A00009221,Jason Marshall,154-62-9789,60,,165 Quincy Shore Drive,#C27,Quincy,2171,N,4,Y,Mortgage
168,A00003698,Ronald Porter,123-13-4086,49,Bachelor,5900 Upland Road,,Brooklyn Park,21225,Y,3,Y,Mortgage
169,A00000190,Gregory Drees,720-32-2793,31,High School,240 54th Avenue North,,Nashville,37209,Y,2,Y,Rent
170,A00002764,Tony Hunter,735-22-1634,36,Masters,127 Andover Drive,,Savannah,31405,Y,5,Y,Mortgage
171,A00009590,Edward Ruvalcaba,120-42-7269,62,Bachelor,421 Madison Street Northeast,,Washington,20011,Y,3,Y,Mortgage
172,A00006417,Lloyd Roberts,203-25-9798,40,Bachelor,88 Pine Valley Road,,Savannah,31404,Y,4,Y,Rent
173,A00001503,Warren Frink,760-35-1669,51,Masters,301 Southeast 37th Street,,Oklahoma City,73129,Y,2,Y,Rent
174,A00003922,Robert Lawrence,208-41-7115,50,Bachelor,8 Corona Street,,,5733,Y,7,Y,Mortgage
175,A00006105,Cheryl Denny,157-78-0386,30,Bachelor,301 Willow Way,,Lynn Haven,32444,Y,6,Y,Mortgage
176,A00003613,Walter Thibodeaux,066-80-1161,52,College,5529 East Saddleridge Drive,,Fayetteville,72703,N,4,Y,Own
177,A00002426,Patricia Benjamin,142-81-6069,44,High School,637 Britannia Drive,,Vallejo,94591,Y,4,Y,Mortgage
178,A00006998,Robert Mcneil,623-20-3385,58,Bachelor,536 Walters Farm Road,,East Haven,5837,N,5,Y,Own
179,A00000105,James Sicard,774-17-6873,33,,1211 Castine Court,,Pasadena,21122,Y,4,Y,Rent
180,A00001637,Elizabeth Rodriguez,895-62-9386,45,Bachelor,594 Putnam Avenue,#2,Cambridge,2139,Y,2,N,Own
181,A00009848,Mary Lopez,873-99-5597,60,,23 Columbia Drive,,Manchester,6042,Y,2,N,Mortgage
182,A00009288,Lexie Kirley,114-67-4112,27,High School,314 Mesa Street,,Wheatland,95692,Y,4,Y,Mortgage
183,A00000247,Robert Gonzalez,535-46-6268,27,College,7809 Highway 2302,,Panama City,32409,Y,4,Y,Rent
184,A00002397,Mark Jones,580-84-3030,60,Bachelor,10819 Bluegrass Parkway,,Jeffersontown,40299,N,6,Y,Mortgage
185,A00007490,Angelo Belcher,399-03-0918,60,Bachelor,8262 Elvaton Road,,Millersville,21108,Y,3,Y,Rent
186,A00003706,Jerry Flesher,119-98-6914,52,Bachelor,8446 Coors Loop,,Arvada,80005,N,6,Y,Mortgage
187,A00004550,Christine Berryman,194-88-3805,31,Bachelor,3373 Runnymede Place Northwest,,Washington,20015,N,4,Y,Mortgage
188,A00003203,Benjamin Peterson,412-53-9544,55,College,3 Hawser Way,,Port Wentworth,31407,Y,3,Y,Own
189,A00009674,Jeanette Craig,784-77-6388,47,Bachelor,220 Avenue B,,Williston,5495,Y,4,Y,Mortgage
190,A00003347,Megan Finney,182-06-0638,33,MD,10723 Colonial Woods Court,,Louisville,40223,Y,6,Y,Rent
191,A00006280,Michelle Taylor,126-46-8619,43,High School,10826 Pointe Royal Drive,,Bakersfield,93311,Y,3,Y,Rent
192,A00009398,James Pollitt,336-49-4868,32,,10 South Main Street,,Fair Haven,5743,N,4,Y,Mortgage
193,A00009338,Raymond Kiffer,805-86-9749,47,Bachelor,309 Glenwood Avenue,,Glen Burnie,21061,Y,7,Y,Rent
194,A00007501,Roger Lambert,735-65-1909,61,Bachelor,10654 North 60th Avenue,#2019,Glendale,85304,Y,5,Y,Rent
195,A00007905,Jessica Dawkins,267-72-3448,29,High School,1122 McDaniel Street,,Sun City Center,33573,N,6,Y,Own
196,A00008439,Mary Bentz,473-39-8600,60,Bachelor,12 Fletcher Lane,,Shelburne,5482,Y,4,Y,Rent
197,A00007899,Susan Ridgeway,329-24-9833,61,Bachelor,15510 Champion Lakes Place,,Louisville,40245,Y,7,Y,Rent
198,A00006248,James House,376-98-2501,56,High School,7105 Tanager Avenue,,Glen Burnie,21060,Y,3,Y,Rent
199,A00000192,Mac Offerdahl,767-88-4858,57,High School,5856 Parfet Court,,Arvada,80004,Y,5,Y,Rent
200,A00002575,Brenda Eddins,303-13-3911,51,Masters,11933 West 71st Avenue,,Arvada,80004,Y,5,Y,Mortgage
201,A00004102,Annie Stumpf,147-24-7613,62,Bachelor,21 Glenoak Lane Northwest,B,Glen Burnie,21061,N,2,Y,Own
202,A00007873,Susan Lewis,502-30-3188,40,PhD,39247 Sundale Drive,,Fremont,94538,Y,4,Y,Mortgage
203,A00004611,Daniel Conklin,671-23-0970,38,Bachelor,1820 Scenic Avenue,,Berkeley,94709,Y,4,Y,Rent
204,A00006492,Joseph Dinkel,318-12-8186,27,MD,903 East 20th Avenue,,Anchorage,99501,Y,2,Y,Rent
205,A00003531,Elizabeth Perry,727-37-5292,27,,2849 Leawood Drive,,Anchorage,99502,Y,2,N,Own
206,A00000149,Gail Mauldin,753-43-6681,63,Bachelor,165 Saint John Street,,Manchester,6040,N,2,Y,Mortgage
207,A00005638,Betty Bowman,458-45-0092,56,College,450 C Street,,Hayward,94541,Y,3,Y,Mortgage
208,A00006076,Joseph Armstrong,242-41-6082,53,High School,21007 North 53rd Avenue,,Glendale,85308,Y,3,Y,Rent
209,A00009990,Richard Herrera,794-89-2970,41,Bachelor,1643 Oxford Street,R C,Berkeley,94709,N,2,Y,Rent
210,A00002513,Garry Rushing,523-60-7351,41,Bachelor,3652 East Blue Stone Drive,,Fayetteville,72764,Y,6,Y,Rent
211,A00009734,Eric Hutchinson,818-79-1412,35,Masters,6140 Fenton Street,,Arvada,80003,Y,6,Y,Rent
212,A00005658,Stuart Menist,208-44-3944,59,MD,505 North Washington Avenue,,Fayetteville,72701,Y,4,Y,Mortgage
213,A00006794,Gloria Knutson,184-58-0190,62,High School,3 Furman Place,,Swanton,5488,Y,3,Y,Rent
214,A00001870,Rhonda Diemer,387-46-2909,53,MD,926 Mill Court,,Savannah,31419,Y,5,Y,Rent
215,A00009682,Linda Hearn,644-94-7805,30,High School,578 Vermont 30,,Newfane,5345,Y,6,Y,Own
216,A00009547,Mae Lowery,283-49-8769,42,Bachelor,733 Georgetown Drive,,Nashville,37205,N,4,Y,Rent
217,A00004091,Chester Barnard,434-60-1350,25,High School,7024 Johnny Mercer Boulevard,,Savannah,31410,Y,5,Y,Rent
218,A00004782,Chris Hosley,408-80-3430,58,College,210 Depot Street,,Woodford,5201,Y,5,Y,Mortgage
219,A00005061,John Ho,066-41-5459,47,High School,5036 Jericho Street,,Hartford,5001,Y,3,Y,Mortgage
220,A00000704,Peter Jones,051-53-1038,46,Bachelor,125 Summer Street,,Manchester,6040,Y,7,Y,Own
221,A00007999,Ronald Stcharles,064-16-6516,50,Bachelor,2200 East Victory Drive,#36,Savannah,31404,Y,3,Y,Rent
222,A00009037,Buddy Hinkle,002-26-6560,50,Masters,653 Vermont 12,,Hartland,5048,Y,7,Y,Own
223,A00004253,Celestine Woods,285-93-3039,29,High School,7802 North Alsup Road,,Litchfield Park,85340,Y,4,Y,Mortgage
