,CUSTOMER_ID,CUSTOMER_NAME,SSN,AGE,CUSTOMER_EDUCATION_LEVEL,ADDRESS_LINE1,CITY,POSTAL_CODE,MARITAL_STATUS,NO_OF_FAMILY_MEMBERS,EMPLOYMENT_STATUS,HOUSE_TYPE
34,A00007890,Khaoula Lahlou,SA925933,26,College,12 Lotissement Salam,Nador,62000.0,N,2,Y,Mortgage
35,A00003536,Adam Fakhir,JK110145,30,Masters,30 Rue El Fadl,Agadir,80000.0,Y,3,Y,Mortgage
36,A00008207,Rania Barghoud,N803088,57,Bachelor,34 Avenue Hassan II,Essaouira,44000.0,Y,4,Y,Rent
37,A00003348,Fatima Ezzahra  Radi,JA725095,30,High School,4 Lotissement Hlioua,Guelmim,81000.0,Y,5,Y,Own
38,A00000014,Hamza El Idrissi,DN320480,26,Masters,10 Avenue Zerktouni,Meknes,50010.0,Y,4,Y,Rent
39,A00006283,Hamza Dadi,X914743,62,PhD,44 Boulevard Salam,Icht,,Y,5,Y,Rent
40,A00003499,Fatima Mansour,KB166452,55,High School,17 Avenue Al Houda,Tanger,90053.0,N,5,Y,Mortgage
41,A00008902,Ahmed Fadili,X513342,62,Masters,14 Lotissement El Fadl,Oulad Ayad,,Y,4,Y,Own
42,A00002740,Omar Banoune,AB345422,57,PhD,9 Avenue Hassan II,Sale,11000.0,Y,3,Y,Rent
43,A00009289,Rania Amine,X528266,32,High School,14 Rue Hassan II,Zemamra,,N,6,Y,Own
44,A00007672,Jamila Bennani,BJ742541,39,College,14 Hay Hassan II,Casablanca,20220.0,Y,3,N,Own
45,A00000956,Ahmed Kibala,CC415239,51,High School,1 Lotissement Zerktouni,Fes,30000.0,Y,2,Y,Rent
46,A00000134,Omar Lahlou,SH355352,31,High School,49 Boulevard Hlioua,Laayoune,70000.0,N,7,Y,Rent
47,A00006528,Omar Benchikh,X488143,31,High School,39 Residence Al Massira,Aoufous,,Y,4,Y,Rent
48,A00008607,Youssef Tazi,DN539491,56,Bachelor,46 Lotissement Al Qods,Meknes,50010.0,N,5,Y,Mortgage
49,A00004589,Yahya Banoune,CC101780,51,College,6 Lotissement Zerktouni,Fes,30000.0,N,7,Y,Own
50,A00002074,Malak Fadili,DN423230,49,PhD,43 Boulevard Zerktouni,Meknes,50010.0,Y,2,N,Mortgage
51,A00000481,Kaoutar Benchikh,X506454,64,Bachelor,43 Boulevard Centrale,Tahannaout,,Y,7,Y,Own
52,A00009041,Aziza Tahiri,F318543,43,College,44 Hay Hlioua,Oujda,60010.0,N,7,Y,Mortgage
53,A00000859,Mohamed Barghoud,F300155,41,Bachelor,36 Avenue Al Houda,Oujda,60010.0,Y,7,N,Rent
54,A00000583,Fatima Ezzahra  Bachri,BJ248563,46,Bachelor,6 Avenue Salam,Casablanca,20220.0,Y,3,Y,Rent
55,A00004719,Malak El Yousfi,X204056,64,College,49 Residence Bernoussi,,,Y,5,Y,Rent
56,A00002089,Khadija El Fassi,X278501,47,High School,10 Boulevard Mohammed V,Zirara,,N,2,Y,Mortgage
57,A00004245,Fatima Ezzahra  Tazi,AG937579,36,College,34 Residence Zerktouni,Rabat,11025.0,N,2,Y,Rent
58,A00009116,Rania Tazi,X918345,48,MD,22 Lotissement Salam,Aouama,,Y,2,Y,Mortgage
59,A00003178,Hassan Ouazzani,G800301,56,High School,23 Rue Al Qods,Kenitra,14110.0,Y,7,Y,Own
60,A00005466,Mohamed Tahiri,BJ114766,32,,47 Hay Al Qods,Casablanca,20220.0,Y,2,Y,Rent
61,A00007369,Hiba Alaoui,KB230227,42,Masters,32 Rue Salam,Tanger,90053.0,Y,7,Y,Mortgage
62,A00002702,Hassan El Yousfi,N829246,53,High School,23 Residence Salam,Essaouira,44000.0,Y,7,N,Mortgage
63,A00006128,Othmane Tahiri,EE423131,40,PhD,16 Lotissement Zerktouni,Marrakech,40000.0,N,5,Y,Own
64,A00001291,Salma Benchikh,R539974,39,Masters,38 Rue Zerktouni,El Hoceima,32000.0,Y,7,Y,Rent
65,A00000261,Amine Fadili,X326427,28,High School,12 Avenue Hlioua,Ain Taoujdate,,Y,5,Y,Mortgage
66,A00008288,Aya Benchikh,CB406312,37,High School,40 Lotissement Hlioua,Sefrou,31000.0,N,5,Y,Own
67,A00009904,Hamza Mansour,DN813606,53,Bachelor,48 Lotissement El Fadl,Meknes,50010.0,Y,6,Y,Own
68,A00007027,Kawtar Amrani,EE825778,36,Bachelor,14 Rue Al Qods,Marrakech,40000.0,Y,4,N,Rent
69,A00003818,Hassan Mansour,F887197,47,High School,44 Boulevard El Fadl,Oujda,60010.0,N,5,Y,Own
70,A00005168,Rachida Ouazzani,X264551,33,Bachelor,17 Rue Al Massira,Ouezzane,,Y,2,Y,Mortgage
71,A00007705,Yahya Ouazzani,G832294,56,Bachelor,18 Lotissement Bernoussi,Kenitra,14110.0,N,3,Y,Rent
72,A00000877,Khaoula Tahiri,AG277801,52,Bachelor,11 Lotissement Hassan II,Rabat,11025.0,Y,7,Y,Mortgage
73,A00006847,Kawtar Benali,JK127944,60,College,31 Lotissement Bernoussi,Agadir,80000.0,Y,3,Y,Mortgage
74,A00005205,Kaoutar Ouazzani,EE414388,60,Bachelor,34 Hay Salam,Marrakech,40000.0,Y,4,Y,Own
75,A00009078,Amine El Yousfi,G108671,50,Bachelor,47 Lotissement Bernoussi,Kenitra,14110.0,Y,4,Y,Own
76,A00000804,Fatima Ezzahra  Tahiri,EE682026,32,High School,41 Residence Hassan II,Marrakech,40000.0,Y,7,Y,Rent
77,A00004234,Malak Benali,X400839,42,Bachelor,8 Lotissement Salam,El Ksiba,,N,7,Y,Mortgage
78,A00002003,Malak Bennani,X900640,33,High School,42 Avenue Salam,Krouchen,,Y,6,Y,Mortgage
79,A00000193,Taha Amrani,JK322544,63,MD,45 Boulevard Centrale,Agadir,80000.0,N,3,N,Rent
80,A00009864,Othmane Banoune,W208981,36,High School,25 Avenue Hlioua,Settat,26000.0,Y,5,Y,Rent
81,A00003565,Kawtar Bachri,AB493935,36,MD,28 Avenue Al Massira,Sale,11000.0,Y,3,Y,Mortgage
82,A00006009,Kawtar Ouazzani,Z245563,35,Bachelor,48 Lotissement Salam,Taza,35000.0,Y,6,Y,Mortgage
83,A00000670,Omar Metouali,EE448823,44,College,37 Avenue Al Qods,Marrakech,40000.0,N,3,Y,Rent
84,A00002691,Hassan Farissi,AG533783,50,Bachelor,10 Lotissement Mohammed V,Rabat,11025.0,Y,6,Y,Rent
85,A00007463,Youssef Ouazzani,EE715085,34,Bachelor,30 Residence Bernoussi,Marrakech,40000.0,Y,4,Y,Mortgage
86,A00007262,Salma Tahiri,N420049,25,High School,5 Rue Zerktouni,Essaouira,44000.0,Y,5,Y,Mortgage
87,A00009910,Othmane El Yousfi,JK669507,61,College,23 Residence Hlioua,Agadir,80000.0,Y,5,Y,Own
88,A00005802,Ahmed El Idrissi,HH283012,63,Bachelor,7 Lotissement Hlioua,Safi,46000.0,N,3,Y,Own
89,A00006267,Omar Benali,CC945790,26,High School,48 Lotissement Centrale,Fes,30000.0,N,3,Y,Mortgage
90,A00002978,Hamza Jamal,AB197289,45,MD,49 Boulevard Al Qods,Sale,11000.0,N,4,Y,Mortgage
91,A00009572,Mohammed Amine Fakhir,DN510764,28,High School,44 Rue Al Houda,Meknes,50010.0,Y,6,Y,Rent
92,A00007477,Mohammed Amine Tahiri,X311499,60,High School,15 Hay Bernoussi,Dar Gueddari,,Y,3,Y,Own
93,A00009513,Zineb Amine,F398646,47,High School,14 Avenue Centrale,Oujda,60010.0,Y,6,Y,Mortgage
94,A00009706,Kaoutar Skalli,BJ345772,55,Masters,12 Lotissement Zerktouni,Casablanca,20220.0,Y,6,Y,Own
95,A00006240,Adam Moufkir ,KB778149,55,MD,40 Rue Hlioua,Tanger,90053.0,N,5,Y,Rent
96,A00000327,Kaoutar Benchikh,KB629658,35,Bachelor,16 Avenue Al Qods,Tanger,90053.0,Y,2,Y,Mortgage
97,A00000762,Amine Barghoud,EE117712,45,Bachelor,1 Rue Bernoussi,Marrakech,40000.0,Y,4,Y,Own
98,A00008559,Hiba Amine,CC852541,49,High School,40 Avenue Bernoussi,Fes,30000.0,N,3,Y,Rent
99,A00007283,Mohamed Farissi,L860111,60,High School,47 Lotissement El Fadl,Tetouan,93000.0,Y,5,Y,Rent
100,A00007243,Hajar Oufkir,G906631,37,High School,7 Rue Mohammed V,Kenitra,14110.0,N,6,Y,Mortgage
101,A00007330,Rania Skalli,L903949,50,Bachelor,45 Lotissement Zerktouni,Tetouan,93000.0,Y,3,N,Mortgage
102,A00009946,Aziza Mansar,N610649,39,MD,8 Residence Hlioua,Essaouira,44000.0,N,5,N,Own
103,A00005849,Yahya Ouazzani,KB925907,42,High School,41 Rue Al Massira,Tanger,90053.0,Y,2,Y,Rent
104,A00008151,Youssef Tazi,X572303,61,Bachelor,47 Hay Hlioua,Ameur,,N,5,Y,Mortgage
105,A00004744,Khadija Farissi,P381413,47,Bachelor,25 Lotissement Bernoussi,Ouarzazate,45000.0,N,4,Y,Mortgage
106,A00007865,Malak Jamal,BJ326392,47,Masters,4 Boulevard Mohammed V,Casablanca,20220.0,Y,2,Y,Rent
107,A00007480,Taha Berrada,AG163951,40,High School,22 Lotissement Mohammed V,Rabat,11025.0,Y,7,N,Mortgage
108,A00001988,Aya Bate,KB300172,64,,42 Lotissement Zerktouni,Tanger,90053.0,Y,2,Y,Rent
109,A00005653,Hajar Moufkir ,X738424,51,Bachelor,40 Boulevard Hassan II,Bir Jdid,,Y,5,Y,Rent
110,A00007305,Khaoula Mansar,G788488,60,Masters,22 Rue Zerktouni,Kenitra,14110.0,N,2,Y,Rent
111,A00001480,Aya El Idrissi,X587923,57,High School,15 Rue Centrale,Khourubga,25000.0,Y,5,Y,Mortgage
112,A00004702,Rachida Alaoui,AB557714,62,Masters,7 Boulevard Zerktouni,Sale,11000.0,N,4,N,Own
113,A00001148,Malak Fadili,DN773250,47,High School,12 Lotissement Al Qods,Meknes,50010.0,Y,2,Y,Rent
114,A00002262,Hajar Amrani,EE517424,32,Bachelor,34 Hay Salam,Marrakech,40000.0,N,2,Y,Rent
115,A00003291,Hiba Amine,AB747656,33,Masters,4 Residence El Fadl,Sale,11000.0,Y,7,Y,Mortgage
116,A00008706,Noha Oufkir,X534924,49,Bachelor,16 Hay Al Massira,Ras El Ma,,Y,2,Y,Own
117,A00004966,Zineb Tazi,X866871,57,College,14 Residence Salam,Nouaceur,,Y,7,Y,Own
118,A00001137,Mohamed Fakhir,X319548,26,High School,4 Lotissement Zerktouni,Tafoughalt,,Y,7,Y,Mortgage
119,A00000013,Kaoutar Jamal,JK341903,45,,23 Lotissement Mohammed V,Agadir,80000.0,Y,5,Y,Mortgage
120,A00000875,Kaoutar El Idrissi,F336716,37,MD,4 Boulevard Mohammed V,Oujda,60010.0,Y,5,Y,Rent
121,A00001718,Mohamed Lahlou,DB164961,42,High School,11 Boulevard Al Houda,Ifrane,53000.0,N,2,Y,Mortgage
122,A00002165,Mohammed Amine Bachri,X662866,54,PhD,25 Lotissement Hassan II,Souk El Arbaa,,N,3,Y,Mortgage
123,A00003051,Adam Amrani,KB954363,29,High School,14 Boulevard El Fadl,Tanger,90053.0,Y,4,Y,Mortgage
124,A00009892,Fatima Amrani,X197012,25,High School,6 Boulevard El Fadl,Rommani,,Y,6,Y,Own
125,A00004106,Ahmed Benali,DN894531,56,Bachelor,33 Hay El Fadl,Meknes,50010.0,N,7,Y,Mortgage
126,A00005034,Adam Tazi,BJ751223,57,Bachelor,47 Residence El Fadl,Casablanca,20220.0,Y,3,Y,Rent
127,A00008198,Hassan El Fassi,CC561976,41,Bachelor,11 Residence Hassan II,Fes,30000.0,Y,6,Y,Mortgage
128,A00000548,Hiba Radi,X517400,64,College,30 Boulevard Al Houda,Boulemane,,Y,6,Y,Own
129,A00006478,Aziza Benchikh,EE654121,35,Bachelor,22 Avenue Al Massira,Marrakech,40000.0,Y,6,Y,Own
130,A00000815,Malak Barghoud,CC691310,31,Bachelor,13 Boulevard Al Massira,Fes,30000.0,Y,4,Y,Rent
131,A00004559,Khaoula Amrani,JK243498,30,PhD,14 Lotissement El Fadl,Agadir,80000.0,Y,7,Y,Rent
132,A00002441,Zineb Farissi,BJ714331,41,Bachelor,5 Residence Mohammed V,Casablanca,20220.0,Y,5,Y,Own
133,A00005228,Kaoutar Amrani,X861372,28,Masters,37 Residence El Fadl,Oualidia,,Y,7,Y,Rent
134,A00008944,Khaoula Skalli,AG634892,28,Bachelor,18 Boulevard Hassan II,Rabat,11025.0,N,3,Y,Own
135,A00005880,Khadija Ouazzani,BJ580082,62,High School,26 Hay Zerktouni,Casablanca,20220.0,N,5,Y,Rent
136,A00002413,Rachida Fakhir,AG176701,39,High School,1 Boulevard Mohammed V,Rabat,11025.0,Y,2,Y,Mortgage
137,A00001701,Youssef El Idrissi,X979958,26,Bachelor,21 Residence Salam,Outat El Haj,,Y,5,N,Own
138,A00000834,Kawtar Jamal,AB145595,54,High School,34 Residence Hlioua,Sale,11000.0,Y,5,Y,Rent
139,A00002597,Yahya Amrani,X800441,39,High School,18 Lotissement Bernoussi,Taounate,,Y,5,Y,Rent
140,A00007505,Amine Kibala,L134519,31,Bachelor,15 Avenue Al Qods,Tetouan,93000.0,N,2,Y,Mortgage
141,A00004164,Kaoutar Benchikh,X444246,60,College,46 Hay Mohammed V,Khourubga,25000.0,Y,3,Y,Mortgage
142,A00005342,Hamza Bate,JK806422,44,,39 Hay Mohammed V,Agadir,80000.0,Y,3,Y,Mortgage
143,A00009809,Othmane Ouazzani,X611979,55,High School,20 Lotissement Al Houda,Driouch,,N,5,Y,Own
144,A00002956,Rachida Fadili,EE113152,42,High School,43 Hay Salam,Marrakech,40000.0,Y,6,Y,Mortgage
145,A00004012,Rachida Berrada,X890603,62,Bachelor,47 Hay Hlioua,Ameur,,Y,3,Y,Own
146,A00000949,Kaoutar Benali,AG132769,64,High School,8 Avenue Hlioua,Rabat,11025.0,Y,7,Y,Mortgage
147,A00001650,Aziza El Yousfi,X142833,43,Bachelor,27 Rue Bernoussi,Tounfite,,N,5,Y,Own
148,A00005704,Fatima Benchikh,AB751026,34,College,27 Boulevard El Fadl,Sale,11000.0,N,4,Y,Own
149,A00002776,Hamza Benchikh,M310025,54,High School,2 Lotissement Hlioua,El Jadida,24010.0,Y,3,Y,Rent
150,A00002079,Ahmed El Idrissi,N557432,41,Bachelor,30 Boulevard Hlioua,Essaouira,44000.0,N,7,Y,Mortgage
151,A00005318,Omar Moufkir ,N357670,32,Bachelor,40 Hay Al Massira,Essaouira,44000.0,Y,7,Y,Own
152,A00007732,Kawtar Amrani,DN205872,47,High School,15 Avenue Zerktouni,Meknes,50010.0,Y,5,Y,Own
153,A00004626,Amine Eddoughmi,AG307790,26,,34 Hay Zerktouni,Rabat,11025.0,Y,2,Y,Mortgage
154,A00000211,Khadija Banoune,R456326,49,Bachelor,27 Lotissement Salam,El Hoceima,32000.0,Y,4,Y,Mortgage
155,A00007341,Salma Bennani,HH664372,27,PhD,7 Residence Al Houda,Safi,46000.0,Y,4,Y,Rent
156,A00008591,Omar Amine,FA169151,42,Bachelor,30 Rue Salam,Berkane,60300.0,Y,7,Y,Mortgage
157,A00008052,Khadija Berrada,CC944692,28,High School,31 Rue Centrale,Fes,30000.0,Y,4,Y,Rent
158,A00008942,Hamza Mansar,X582298,35,Masters,42 Hay Salam,Dar Ould Zidouh,,Y,5,Y,Mortgage
159,A00003149,Rania Moufkir ,JK616404,60,High School,4 Rue Bernoussi,Agadir,80000.0,Y,6,Y,Rent
160,A00005805,Salma Bate,X845439,31,Bachelor,20 Rue Hassan II,,,Y,6,Y,Own
161,A00009530,Fatima Ezzahra  Oufkir,AG648840,54,Bachelor,34 Residence El Fadl,Rabat,11025.0,Y,7,Y,Own
162,A00006830,Khadija Salhi,AG826549,26,,16 Rue Al Houda,Rabat,11025.0,Y,6,Y,Rent
163,A00007160,Kaoutar Berrada,JK933785,61,Bachelor,15 Hay Zerktouni,Agadir,80000.0,Y,3,Y,Rent
164,A00001553,Kaoutar Radi,X563486,64,Bachelor,42 Avenue Salam,Krouchen,,N,3,Y,Mortgage
165,A00001756,Kaoutar Banoune,BJ856977,35,Bachelor,1 Residence Zerktouni,Casablanca,20220.0,N,5,Y,Own
166,A00002923,Meryem Eddoughmi,F392893,62,High School,11 Residence Al Massira,Oujda,60010.0,N,7,Y,Own
167,A00009221,Hassan Moufkir ,Y184169,60,,45 Residence Hassan II,El Kelaa des Sraghna,43000.0,N,4,Y,Mortgage
168,A00003698,Khadija Oufkir,X190737,49,Bachelor,33 Avenue Mohammed V,Kalaat M'Gouna,,Y,3,Y,Mortgage
169,A00000190,Amine Amrani,EE286404,31,High School,28 Lotissement Hassan II,Marrakech,40000.0,Y,2,Y,Rent
170,A00002764,Malak Benali,G727524,36,Masters,5 Boulevard Al Houda,Kenitra,14110.0,Y,5,Y,Mortgage
171,A00009590,Noha Dadi,KB474739,62,Bachelor,13 Residence Al Houda,Tanger,90053.0,Y,3,Y,Mortgage
172,A00006417,Aziza Benchikh,G549546,40,Bachelor,18 Lotissement Bernoussi,Kenitra,14110.0,Y,4,Y,Rent
173,A00001503,Hamza El Idrissi,F920525,51,Masters,13 Rue Al Houda,Oujda,60010.0,Y,2,Y,Rent
174,A00003922,Kaoutar Alaoui,X678976,50,Bachelor,21 Lotissement Mohammed V,,,Y,7,Y,Mortgage
175,A00006105,Jamila Amine,WA220475,30,Bachelor,23 Lotissement Al Qods,Berrechid,26100.0,Y,6,Y,Mortgage
176,A00003613,Adam Barghoud,AG580061,52,College,38 Avenue Centrale,Rabat,11025.0,N,4,Y,Own
177,A00002426,Noha Alaoui,X381054,44,High School,18 Residence Hassan II,Mograne,,Y,4,Y,Mortgage
178,A00006998,Mohamed Barghoud,X269206,58,Bachelor,49 Lotissement Al Massira,Dar Si Aissa,,N,5,Y,Own
179,A00000105,Hajar Dadi,CB703159,33,,16 Rue Al Qods,Sefrou,31000.0,Y,4,Y,Rent
180,A00001637,Adam Salhi,LA937213,45,Bachelor,44 Residence Hassan II,Larache,92000.0,Y,2,N,Own
181,A00009848,Zineb Barghoud,AB796738,60,,7 Boulevard Zerktouni,Sale,11000.0,Y,2,N,Mortgage
182,A00009288,Rania Moufkir ,X877162,27,High School,42 Lotissement Salam,Oued Laou,,Y,4,Y,Mortgage
183,A00000247,Noha Bachri,N549451,27,College,7 Avenue Al Qods,Essaouira,44000.0,Y,4,Y,Rent
184,A00002397,Aya Skalli,X303645,60,Bachelor,27 Lotissement Mohammed V,Ait Daoud,,N,6,Y,Mortgage
185,A00007490,Kaoutar Amine,X514129,60,Bachelor,42 Hay Al Qods,M'diq,,Y,3,Y,Rent
186,A00003706,Rachida Skalli,JK979320,52,Bachelor,49 Avenue El Fadl,Agadir,80000.0,N,6,Y,Mortgage
187,A00004550,Fatima Tahiri,KB490267,31,Bachelor,31 Boulevard Al Massira,Tanger,90053.0,N,4,Y,Mortgage
188,A00003203,Mohamed Salhi,X124515,55,College,17 Residence Al Qods,Tissa,,Y,3,Y,Own
189,A00009674,Othmane Mansour,I699185,47,Bachelor,4 Rue Mohammed V,Beni Mellal,23000.0,Y,4,Y,Mortgage
190,A00003347,Youssef El Yousfi,DN880395,33,MD,10 Avenue Zerktouni,Meknes,50010.0,Y,6,Y,Rent
191,A00006280,Fatima Ezzahra  Salhi,X472959,43,High School,11 Rue Hlioua,Zagora,,Y,3,Y,Rent
192,A00009398,Othmane Bate,X507046,32,,24 Lotissement Mohammed V,Fair Haven,,N,4,Y,Mortgage
193,A00009338,Hamza Farissi,X332527,47,Bachelor,42 Avenue Hassan II,Ouezzane,,Y,7,Y,Rent
194,A00007501,Youssef Eddoughmi,CC570967,61,Bachelor,15 Avenue Zerktouni,Fes,30000.0,Y,5,Y,Rent
195,A00007905,Mohammed Amine Banoune,X818014,29,High School,48 Rue Salam,Zghenghen,,N,6,Y,Own
196,A00008439,Othmane Moufkir ,X890569,60,Bachelor,21 Residence Centrale,Zaouiat Cheikh,,Y,4,Y,Rent
197,A00007899,Hajar Banoune,DN519446,61,Bachelor,1 Hay Zerktouni,Meknes,50010.0,Y,7,Y,Rent
198,A00006248,Noha Mansour,X111681,56,High School,15 Residence Al Houda,Ouezzane,,Y,3,Y,Rent
199,A00000192,Hajar Tazi,JK477957,57,High School,8 Rue Hassan II,Agadir,80000.0,Y,5,Y,Rent
200,A00002575,Noha Farissi,JK795233,51,Masters,19 Avenue Al Houda,Agadir,80000.0,Y,5,Y,Mortgage
201,A00004102,Taha Amine,X751227,62,Bachelor,3 Avenue Bernoussi,Ouezzane,,N,2,Y,Own
202,A00007873,Kaoutar Berrada,R832223,40,PhD,18 Boulevard Hassan II,El Hoceima,32000.0,Y,4,Y,Mortgage
203,A00004611,Omar Kibala,SA216215,38,Bachelor,12 Lotissement Salam,Nador,62000.0,Y,4,Y,Rent
204,A00006492,Youssef Metouali,L352498,27,MD,36 Hay Centrale,Tetouan,93000.0,Y,2,Y,Rent
205,A00003531,Taha Skalli,L751209,27,,5 Hay Al Qods,Tetouan,93000.0,Y,2,N,Own
206,A00000149,Khaoula Banoune,AB129919,63,Bachelor,21 Boulevard Hlioua,Sale,11000.0,N,2,Y,Mortgage
207,A00005638,Hajar Eddoughmi,JA999443,56,College,4 Lotissement Hlioua,Guelmim,81000.0,Y,3,Y,Mortgage
208,A00006076,Omar El Fassi,CC912302,53,High School,10 Hay Bernoussi,Fes,30000.0,Y,3,Y,Rent
209,A00009990,Adam Moufkir ,SA261324,41,Bachelor,29 Avenue Al Massira,Nador,62000.0,N,2,Y,Rent
210,A00002513,Hajar Tahiri,AG582354,41,Bachelor,21 Avenue Hlioua,Rabat,11025.0,Y,6,Y,Rent
211,A00009734,Mohammed Amine Berrada,JK795957,35,Masters,30 Residence El Fadl,Agadir,80000.0,Y,6,Y,Rent
212,A00005658,Adam Eddoughmi,AG150855,59,MD,24 Rue Hassan II,Rabat,11025.0,Y,4,Y,Mortgage
213,A00006794,Omar Metouali,X837875,62,High School,4 Boulevard Zerktouni,Oulad Jamaa,,Y,3,Y,Rent
214,A00001870,Fatima Ezzahra  El Fassi,G638990,53,MD,47 Boulevard Al Houda,Kenitra,14110.0,Y,5,Y,Rent
215,A00009682,Hassan El Idrissi,X364628,30,High School,44 Lotissement Al Houda,Lahdar,,Y,6,Y,Own
216,A00009547,Rachida El Idrissi,EE170139,42,Bachelor,49 Boulevard Hlioua,Marrakech,40000.0,N,4,Y,Rent
217,A00004091,Fatima Ezzahra  Berrada,G950679,25,High School,49 Rue Hlioua,Kenitra,14110.0,Y,5,Y,Rent
218,A00004782,Kaoutar Oufkir,X243285,58,College,37 Avenue Hassan II,Oulmes,,Y,5,Y,Mortgage
219,A00005061,Aya Benali,JE647515,47,High School,25 Residence Salam,Tiznit,85000.0,Y,3,Y,Mortgage
220,A00000704,Mohamed El Fassi,AB612551,46,Bachelor,20 Boulevard Hassan II,Sale,11000.0,Y,7,Y,Own
221,A00007999,Malak Barghoud,G337616,50,Bachelor,4 Avenue Al Houda,Kenitra,14110.0,Y,3,Y,Rent
222,A00009037,Amine Tazi,X718203,50,Masters,2 Hay Salam,Kerrouchen,,Y,7,Y,Own
